"","관측소명","GENNUM","관측소표준코드","최초설치","구분","설치년도","경도.도","경도.분","경도.초","위도.도","위도.분","위도.초","표고.El.m.","심도.m.","경도","위도"
"1","강진남성",NA,"JN-GJN-E1-0002","수질","심부1",2011,126,46,27.06,34,38,9.13,12,39,126.7741833,34.63586944
"2","강진남성",737556,"JN-GJN-E1-0003","수질","심부2",2011,126,46,27.06,34,38,9.13,12,80,126.7741833,34.63586944
"3","강진남성",737555,"JN-GJN-E1-0001","수질","천부",2011,126,46,27.06,34,38,9.13,12,13,126.7741833,34.63586944
"4","강진성남",NA,"JN-GJN-E1-0005","수질","심부1",2014,126,48,46.29,34,43,1.58,39,38,126.8128583,34.71710556
"5","강진성남",737558,"JN-GJN-E1-0006","수질","심부2",2014,126,48,46.29,34,43,1.58,39,80,126.8128583,34.71710556
"6","강진성남",737557,"JN-GJN-E1-0004","수질","천부",2014,126,48,46.29,34,43,1.58,39,10,126.8128583,34.71710556
"7","강진성전",65001,"JN-GJN-L1-0001","국가","암반",1998,126,42,29,34,41,20,54.88,67,126.7091639,34.69223333
"8","강진성전",65002,"JN-GJN-L1-0002","국가","충적",1998,126,42,29,34,41,20,54.9,9.86,126.7091639,34.69223333
"9","강진옴천",601716,"JN-GJN-L1-0005","국가","암반",2011,126,47,35,34,44,41,103.62,100,126.7929333,34.74481944
"10","강진칠량",65003,"JN-GJN-L1-0003","국가","암반",1998,126,47,50,34,34,8,8.96,66,126.7982639,34.57216667
"11","강진칠량",65004,"JN-GJN-L1-0004","국가","충적",1998,126,47,50,34,34,8,8.93,12,126.7982639,34.57216667
"12","고창고수",11768,"JB-GOC-L1-0001","국가","암반",1996,126,41,3,35,23,29,56.21,68,126.689825,35.394925
"13","고창고수",11769,"JB-GOC-L1-0002","국가","충적",1996,126,41,3,35,23,29,56.21,10,126.689825,35.394925
"14","고창대산",82022,"JB-GOC-L1-0003","국가","암반",2002,126,33,30,35,18,57,31.963,70,126.5563194,35.31895833
"15","고창삼인",NA,"JB-GOC-E1-0005","수질","심부1",2014,NA,NA,NA,NA,NA,NA,18,30,126.5887306,35.50442778
"16","고창삼인",771419,"JB-GOC-E1-0006","수질","심부2",2014,NA,NA,NA,NA,NA,NA,18,80,126.5887306,35.50442778
"17","고창삼인",771420,"JB-GOC-E1-0004","수질","천부",2014,NA,NA,NA,NA,NA,NA,18,10,126.5887306,35.50442778
"18","고창상하",82023,"JB-GOC-L1-0005","국가","암반",2002,126,29,27,35,25,3,9.515,70,126.4888028,35.42056667
"19","고창상하",82023,"JB-GOC-L1-0006","국가","충적",2002,126,29,27,35,25,3,9.498,12.95,126.4888028,35.42056667
"20","고창월암",NA,"JB-GOC-E1-0002","수질","심부1",2014,NA,NA,NA,NA,NA,NA,83,30,126.7254083,35.43174722
"21","고창월암",771421,"JB-GOC-E1-0003","수질","심부2",2014,NA,NA,NA,NA,NA,NA,83,80,126.7254083,35.43174722
"22","고창월암",771422,"JB-GOC-E1-0001","수질","천부",2014,NA,NA,NA,NA,NA,NA,83,10,126.7254083,35.43174722
