
지점,시작일,종료일,지점명,지점주소,관리관서,위도,경도,노장해발고도(m),기압계(관측장비지상높이(m)),기온계(관측장비지상높이(m)),풍속계(관측장비지상높이(m)),강우계(관측장비지상높이(m))
140,2003-12-31,,군산,전라북도 군산시내흥동 425-10호군산지역기상서비스센터  ,전주기상대(146),36.0053,126.7614,27.85,24.600,1.700,10.000,1.000
140,1968-01-01,2003-12-01,군산,전라북도 군산시내흥동 425-10호군산지역기상서비스센터  ,,35.993,126.7057,25.57,30.740,1.500,18.000,0.600
146,2015-07-01,,전주,전라북도 전주시덕진구 상가마을길25 전주기상지청 ,전주기상대(146),35.8409,127.1172,60.44,62.900,1.600,10.000,1.400
146,1918-06-23,2015-07-01,전주,전라북도 전주시덕진구 상가마을길25 전주기상지청 ,전주기상대(146),35.8215,127.155,53.4,62.400,1.800,18.400,0.600
164,1993-01-01,2000-07-31,무안,,,35.0938,126.2851,24.49,25.030,1.500,12.600,0.600
165,2019-10-31,,목포,전라남도 목포시연산동 726-3번지목포기상대  ,목포기상대(165),34.8173,126.3815,44.7,39.200,1.500,14.500,1.000
165,1904-04-08,2019-10-31,목포,전라남도 목포시연산동 726-3번지목포기상대  ,목포기상대(165),34.8169,126.3812,38,39.200,1.500,14.500,1.000
168,1942-03-01,,여수,전라남도 여수시고소동 304  ,여수기상대(168),34.7393,127.7406,65.93,66.100,1.500,13.000,0.600
169,1997-01-01,,흑산도,전라남도 신안군흑산면 예리3길 21-90 흑산도관측소,흑산도기상대(169),34.6872,125.4511,75.12,78.000,1.500,15.500,0.600
170,1971-01-31,,완도,전라남도 완도군군외면 청해진로795-3 (불목리 26),목포기상대(165),34.3959,126.7018,35.37,36.700,1.500,10.000,0.800
172,2010-12-01,,고창,전라북도 고창군대산면 매산리399-13  ,전주기상대(146),35.3482,126.599,52.42,53.500,1.800,10.000,1.700
174,2011-04-01,,순천,전라남도 순천시승주읍 평중리230번지 순천지역기상서비스센터 ,광주지방기상청(156),35.0204,127.3694,165,166.500,1.500,10.000,0.800
175,2001-11-03,2019-08-01,진도(첨찰산),전라남도 진도군의신면 운림산방로527-209  ,목포기상대(165),34.4721,126.3238,478.51,479.760,1.500,10.000,0.800
184,1923-05-01,,제주,제주특별자치도 제주시만덕로 6길 32 제주지방기상청,제주지방기상청(184),33.5141,126.5297,20.79,21.990,1.700,15.000,1.500
185,1988-01-01,,고산,제주특별자치도 제주시한경면 노을해안로1013-70 고산레이더관측소 ,제주지방기상청(184),33.2938,126.1628,71.39,72.490,1.700,10.000,1.500
187,2007-03-27,2008-09-04,성산,,,33.3868,126.8804,18,20.480,1.800,10.200,0.600
188,2008-09-04,,성산,제주특별자치도 서귀포시성산읍 신난로11 성산레이더관측소 ,제주지방기상청(184),33.3868,126.8802,20.34,21.740,1.700,10.000,1.500
